,Territory,Data type,Gender,Highest level of education attained,Citizenship,TIME,Value
5645,Nord-ovest,activity rate,total,upper and post secondary,foreign,2019,77.634571
5650,Nord-ovest,activity rate,total,upper and post secondary,foreign,2020,72.653747
5655,Nord-ovest,activity rate,total,upper and post secondary,foreign,2021,75.335138
5656,Nord-ovest,activity rate,total,upper and post secondary,foreign,2022,77.16848
5785,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,42.486119
5790,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,43.259402
5795,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,41.117652
5800,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,41.531379
5801,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,41.901527
5925,Nord,activity rate,total,upper and post secondary,foreign,2018,78.831586
5930,Nord,activity rate,total,upper and post secondary,foreign,2019,78.980077
5935,Nord,activity rate,total,upper and post secondary,foreign,2020,75.385182
5940,Nord,activity rate,total,upper and post secondary,foreign,2021,76.880892
5941,Nord,activity rate,total,upper and post secondary,foreign,2022,77.676581
5980,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,41.939824
5985,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,41.016408
5990,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,39.214453
5995,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,40.233669
5996,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,40.917534
6030,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,55.9493
6035,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,56.192277
6040,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,54.431025
6045,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,54.620183
6046,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,55.332569
6065,Nord,activity rate,total,upper and post secondary,italian,2018,70.872799
6070,Nord,activity rate,total,upper and post secondary,italian,2019,70.651165
6075,Nord,activity rate,total,upper and post secondary,italian,2020,68.643054
6080,Nord,activity rate,total,upper and post secondary,italian,2021,68.590496
6081,Nord,activity rate,total,upper and post secondary,italian,2022,69.8438
6145,Nord-ovest,activity rate,total,upper and post secondary,italian,2018,78.468922
6150,Nord-ovest,activity rate,total,upper and post secondary,italian,2019,78.307238
6155,Nord-ovest,activity rate,total,upper and post secondary,italian,2020,76.547141
6160,Nord-ovest,activity rate,total,upper and post secondary,italian,2021,77.261971
6161,Nord-ovest,activity rate,total,upper and post secondary,italian,2022,78.347363
6240,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,67.034447
6245,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,66.775055
6250,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,59.792446
6255,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,63.246899
6256,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,64.209779
6295,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,74.972888
6300,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,74.344225
6305,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,66.796195
6310,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,69.754364
6311,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,72.312712
6350,Nord-est,activity rate,total,upper and post secondary,italian,2018,79.615489
6355,Nord-est,activity rate,total,upper and post secondary,italian,2019,80.79147
6360,Nord-est,activity rate,total,upper and post secondary,italian,2020,78.135467
6365,Nord-est,activity rate,total,upper and post secondary,italian,2021,77.744346
6366,Nord-est,activity rate,total,upper and post secondary,italian,2022,79.398343
6650,Mezzogiorno,activity rate,total,upper and post secondary,italian,2018,62.034904
6655,Mezzogiorno,activity rate,total,upper and post secondary,italian,2019,62.420105
6660,Mezzogiorno,activity rate,total,upper and post secondary,italian,2020,59.409501
6665,Mezzogiorno,activity rate,total,upper and post secondary,italian,2021,61.220588
6666,Mezzogiorno,activity rate,total,upper and post secondary,italian,2022,62.141353
6675,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,67.127486
6680,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,68.178773
6685,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,65.535311
6690,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,66.215723
6691,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,67.002952
6970,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,88.50283
6975,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,88.427302
6980,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,86.609288
6985,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,87.640197
6986,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,88.373877
6995,Centro (I),activity rate,total,total,italian,2018,59.495852
7000,Centro (I),activity rate,total,total,italian,2019,59.307034
7005,Centro (I),activity rate,total,total,italian,2020,57.896862
7010,Centro (I),activity rate,total,total,italian,2021,58.460688
7011,Centro (I),activity rate,total,total,italian,2022,59.437355
7110,Centro (I),activity rate,total,total,foreign,2018,76.356683
7115,Centro (I),activity rate,total,total,foreign,2019,76.404191
7120,Centro (I),activity rate,total,total,foreign,2020,70.645165
7125,Centro (I),activity rate,total,total,foreign,2021,72.652836
7126,Centro (I),activity rate,total,total,foreign,2022,74.192495
7140,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,65.878413
7145,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,66.092455
7150,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,61.348516
7155,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,61.972591
7156,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,62.853752
7270,Nord-ovest,activity rate,total,total,foreign,2018,70.674274
7275,Nord-ovest,activity rate,total,total,foreign,2019,70.188988
7280,Nord-ovest,activity rate,total,total,foreign,2020,63.705559
7285,Nord-ovest,activity rate,total,total,foreign,2021,67.260935
7286,Nord-ovest,activity rate,total,total,foreign,2022,68.017744
7350,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,53.15007
7355,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,52.358226
7360,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,50.046446
7365,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,50.736769
7366,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,51.622498
7375,Nord,activity rate,total,total,foreign,2018,71.034854
7380,Nord,activity rate,total,total,foreign,2019,70.846594
7385,Nord,activity rate,total,total,foreign,2020,65.703642
7390,Nord,activity rate,total,total,foreign,2021,67.976769
7391,Nord,activity rate,total,total,foreign,2022,68.674423
7490,Nord,activity rate,total,total,italian,2018,77.332677
7495,Nord,activity rate,total,total,italian,2019,77.740281
7500,Nord,activity rate,total,total,italian,2020,75.867771
7505,Nord,activity rate,total,total,italian,2021,76.265451
7506,Nord,activity rate,total,total,italian,2022,77.365858
7515,Nord-ovest,activity rate,total,total,italian,2018,61.124393
7520,Nord-ovest,activity rate,total,total,italian,2019,61.355297
7525,Nord-ovest,activity rate,total,total,italian,2020,59.678518
7530,Nord-ovest,activity rate,total,total,italian,2021,60.112726
7531,Nord-ovest,activity rate,total,total,italian,2022,60.88947
7595,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,85.872718
7600,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,86.042683
7605,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,84.583381
7610,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,86.128633
7611,Centro (I),activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,86.04349
7625,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,77.2227
7630,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,77.459911
7635,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,75.710084
7640,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,77.565204
7641,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,78.772615
7680,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,71.74137
7685,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,72.445046
7690,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,66.964034
7695,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,69.00007
7696,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,71.293081
7740,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,42.485246
7745,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,42.484796
7750,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,41.55571
7755,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,41.387148
7756,Nord-est,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,42.166136
7770,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,81.986542
7775,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,81.362997
7780,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,79.997354
7785,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,81.757452
7786,Nord-est,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,82.665475
7795,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,70.159891
7800,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,64.425712
7805,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,54.018333
7810,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,57.616432
7811,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,59.312506
7845,Mezzogiorno,activity rate,total,total,foreign,2018,69.186672
7850,Mezzogiorno,activity rate,total,total,foreign,2019,67.546171
7855,Mezzogiorno,activity rate,total,total,foreign,2020,62.194432
7860,Mezzogiorno,activity rate,total,total,foreign,2021,64.372327
7861,Mezzogiorno,activity rate,total,total,foreign,2022,64.842179
7880,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,70.554736
7885,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,71.007208
7890,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,70.275422
7895,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,71.67299
7896,Mezzogiorno,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,72.389763
8045,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,68.018796
8050,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,67.513986
8055,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,63.564729
8060,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,63.302509
8061,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,64.201869
8095,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,66.589551
8100,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,66.51343
8105,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,60.374134
8110,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,62.744616
8111,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,63.670213
8120,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,64.602711
8125,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,64.085284
8130,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,61.705432
8135,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,62.36397
8136,Centro (I),activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,63.929557
8185,Nord-est,activity rate,total,upper and post secondary,foreign,2018,78.984358
8190,Nord-est,activity rate,total,upper and post secondary,foreign,2019,79.29339
8195,Nord-est,activity rate,total,upper and post secondary,foreign,2020,77.34207
8200,Nord-est,activity rate,total,upper and post secondary,foreign,2021,76.916549
8201,Nord-est,activity rate,total,upper and post secondary,foreign,2022,76.437335
8220,Centro (I),activity rate,total,total,italian,2018,74.458478
8225,Centro (I),activity rate,total,total,italian,2019,74.351823
8230,Centro (I),activity rate,total,total,italian,2020,72.841779
8235,Centro (I),activity rate,total,total,italian,2021,73.589568
8236,Centro (I),activity rate,total,total,italian,2022,74.912572
8395,Centro (I),activity rate,total,upper and post secondary,italian,2018,66.288671
8400,Centro (I),activity rate,total,upper and post secondary,italian,2019,65.772864
8405,Centro (I),activity rate,total,upper and post secondary,italian,2020,64.660197
8410,Centro (I),activity rate,total,upper and post secondary,italian,2021,65.264387
8411,Centro (I),activity rate,total,upper and post secondary,italian,2022,66.387136
8420,Centro (I),activity rate,total,upper and post secondary,foreign,2018,76.393872
8425,Centro (I),activity rate,total,upper and post secondary,foreign,2019,77.290465
8430,Centro (I),activity rate,total,upper and post secondary,foreign,2020,70.856565
8435,Centro (I),activity rate,total,upper and post secondary,foreign,2021,73.844166
8436,Centro (I),activity rate,total,upper and post secondary,foreign,2022,73.678983
8500,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,73.558364
8505,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,73.539548
8510,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,66.600486
8515,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,70.897452
8516,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,71.603595
8525,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2018,82.17703
8530,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2019,81.682889
8535,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2020,80.445704
8540,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2021,81.866441
8541,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",italian,2022,82.475352
8605,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2018,66.600232
8610,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2019,62.460471
8615,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2020,56.647567
8620,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2021,58.876755
8621,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2022,60.209296
8715,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,34.268435
8720,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,33.397339
8725,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,31.730451
8730,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,32.318743
8731,Mezzogiorno,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,32.588142
8845,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,65.423317
8850,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,65.138648
8855,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,59.130933
8860,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,61.416751
8861,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,61.942588
8905,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,77.30214
8910,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,77.271069
8915,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,71.67985
8920,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,75.062811
8921,Nord,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,77.153754
9005,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2018,77.357864
9010,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2019,77.126995
9015,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2020,68.446529
9020,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2021,73.041038
9021,Nord-ovest,activity rate,total,"tertiary (university, doctoral and specialization courses)",foreign,2022,75.881419
9170,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2018,67.718958
9175,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2019,63.715883
9180,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2020,57.192119
9185,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2021,59.831657
9186,Mezzogiorno,activity rate,total,upper and post secondary,foreign,2022,61.927391
9340,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,55.856494
9345,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,56.55765
9350,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,54.267152
9355,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,54.723853
9356,Nord-ovest,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,55.321285
9515,Nord-est,activity rate,total,total,foreign,2018,71.544791
9520,Nord-est,activity rate,total,total,foreign,2019,71.754013
9525,Nord-est,activity rate,total,total,foreign,2020,68.471194
9530,Nord-est,activity rate,total,total,foreign,2021,68.953642
9531,Nord-est,activity rate,total,total,foreign,2022,69.543354
9545,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2018,42.485761
9550,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2019,42.938315
9555,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2020,41.299322
9560,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2021,41.47167
9561,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",italian,2022,42.011253
9600,Nord-ovest,activity rate,total,upper and post secondary,italian,2018,70.008291
9605,Nord-ovest,activity rate,total,upper and post secondary,italian,2019,69.43995
9610,Nord-ovest,activity rate,total,upper and post secondary,italian,2020,67.743747
9615,Nord-ovest,activity rate,total,upper and post secondary,italian,2021,68.184857
9616,Nord-ovest,activity rate,total,upper and post secondary,italian,2022,69.208544
9710,Nord,activity rate,total,upper and post secondary,italian,2018,78.965959
9715,Nord,activity rate,total,upper and post secondary,italian,2019,79.375434
9720,Nord,activity rate,total,upper and post secondary,italian,2020,77.22866
9725,Nord,activity rate,total,upper and post secondary,italian,2021,77.469535
9726,Nord,activity rate,total,upper and post secondary,italian,2022,78.797834
9785,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2018,72.856408
9790,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2019,73.120475
9795,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2020,66.737652
9800,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2021,70.147612
9801,Nord,activity rate,total,"no educational degree, primary and lower secondary school certificate",foreign,2022,71.481583
